time	latitude	longitude	altitude	distance	heart.rate	speed	cadence	power
2017-11-27 03:11:41.000	47.360708	8.535273	410.5	0	NULL	0	NULL	NULL
2017-11-27 03:11:43.000	47.360712	8.535189	410.7	6.3	NULL	3.2	NULL	NULL
2017-11-27 03:11:44.000	47.36065	8.53517	410.7	13.3	NULL	4.4	NULL	NULL
2017-11-27 03:11:46.000	47.360623	8.535173	410.5	16.4	NULL	3.3	NULL	NULL
2017-11-27 03:11:48.000	47.360638	8.535232	410.1	21.1	NULL	3	NULL	NULL
2017-11-27 03:11:52.000	47.360678	8.535241	409.8	25.6	NULL	1.5	NULL	NULL
2017-11-27 03:11:54.000	47.360708	8.535252	409.6	29.1	NULL	1.3	NULL	NULL
2017-11-27 03:11:56.000	47.360744	8.535267	409.3	33.2	NULL	1.5	NULL	NULL
2017-11-27 03:11:58.000	47.360777	8.535276	411.3	37	NULL	1.9	NULL	NULL
2017-11-27 03:12:00.000	47.360819	8.535295	412.2	41.9	NULL	2.1	NULL	NULL
2017-11-27 03:12:01.000	47.360846	8.535298	412.8	44.9	NULL	2.3	NULL	NULL
2017-11-27 03:12:03.000	47.360882	8.5353	413	48.8	NULL	2.4	NULL	NULL
2017-11-27 03:12:05.000	47.360916	8.535306	413	52.7	NULL	2.2	NULL	NULL
2017-11-27 03:12:07.000	47.360952	8.535307	413	56.7	NULL	2	NULL	NULL
2017-11-27 03:12:09.000	47.360987	8.535306	413	60.6	NULL	2	NULL	NULL
2017-11-27 03:12:11.000	47.361017	8.535309	413	63.9	NULL	1.9	NULL	NULL
2017-11-27 03:12:14.000	47.361051	8.535307	413	67.7	NULL	1.4	NULL	NULL
2017-11-27 03:12:17.000	47.36107	8.535359	413	72.1	NULL	1.4	NULL	NULL
2017-11-27 03:12:19.000	47.361087	8.535405	413	76.1	NULL	1.7	NULL	NULL
2017-11-27 03:12:21.000	47.361103	8.535459	413	80.5	NULL	1.8	NULL	NULL
2017-11-27 03:12:23.000	47.361126	8.535537	413	87	NULL	2.5	NULL	NULL
2017-11-27 03:12:24.000	47.361142	8.53558	411.8	90.6	NULL	2.9	NULL	NULL
2017-11-27 03:12:25.000	47.361155	8.535615	411.4	93.6	NULL	2.9	NULL	NULL
2017-11-27 03:12:27.000	47.361188	8.535668	410.6	99.1	NULL	3.1	NULL	NULL
2017-11-27 03:12:29.000	47.361204	8.535722	409.9	103.5	NULL	2.6	NULL	NULL
2017-11-27 03:12:31.000	47.361208	8.535795	409.1	109.1	NULL	2.6	NULL	NULL
2017-11-27 03:12:33.000	47.36119	8.535851	408.4	113.7	NULL	2.4	NULL	NULL
2017-11-27 03:12:35.000	47.361151	8.535894	407.9	119.1	NULL	2.6	NULL	NULL
2017-11-27 03:12:36.000	47.36112	8.535916	407.8	122.9	NULL	2.8	NULL	NULL
2017-11-27 03:12:37.000	47.361084	8.535936	407.7	127.2	NULL	3	NULL	NULL
2017-11-27 03:12:38.000	47.36105	8.535954	407.6	131.2	NULL	3.5	NULL	NULL
2017-11-27 03:12:39.000	47.361018	8.535969	407.5	135	NULL	3.5	NULL	NULL
2017-11-27 03:12:40.000	47.360987	8.535983	407.5	138.6	NULL	3.9	NULL	NULL
2017-11-27 03:12:41.000	47.360957	8.53599	407.4	142	NULL	3.8	NULL	NULL
2017-11-27 03:12:42.000	47.360928	8.535995	407.3	145.2	NULL	3.6	NULL	NULL
2017-11-27 03:12:43.000	47.360899	8.536001	407.2	148.5	NULL	3.5	NULL	NULL
2017-11-27 03:12:44.000	47.36087	8.53601	407.1	151.7	NULL	3.3	NULL	NULL
2017-11-27 03:12:45.000	47.360841	8.536016	407.1	155	NULL	3.3	NULL	NULL
2017-11-27 03:12:46.000	47.36081	8.536019	406.9	158.4	NULL	3.3	NULL	NULL
2017-11-27 03:12:47.000	47.360777	8.536018	406.8	162.2	NULL	3.4	NULL	NULL
2017-11-27 03:12:48.000	47.360741	8.536019	406.6	166.1	NULL	3.5	NULL	NULL
2017-11-27 03:12:49.000	47.360705	8.536022	406.4	170.1	NULL	3.7	NULL	NULL
2017-11-27 03:12:50.000	47.360666	8.536023	406.3	174.4	NULL	3.9	NULL	NULL
2017-11-27 03:12:51.000	47.360628	8.536026	406.1	178.8	NULL	4.1	NULL	NULL
2017-11-27 03:12:52.000	47.360585	8.536023	406.1	183.5	NULL	4.3	NULL	NULL
2017-11-27 03:12:53.000	47.360545	8.536021	406.2	188	NULL	4.4	NULL	NULL
2017-11-27 03:12:54.000	47.360508	8.536016	406.3	192	NULL	4.4	NULL	NULL
2017-11-27 03:12:55.000	47.360474	8.536011	406.4	195.9	NULL	4.3	NULL	NULL
2017-11-27 03:12:57.000	47.360419	8.536	406.5	202.1	NULL	3.7	NULL	NULL
2017-11-27 03:12:58.000	47.360391	8.536	406.6	205.2	NULL	3.4	NULL	NULL
2017-11-27 03:12:59.000	47.360363	8.536002	406.7	208.3	NULL	3.3	NULL	NULL
2017-11-27 03:13:00.000	47.360334	8.536004	406.8	211.5	NULL	3.1	NULL	NULL
2017-11-27 03:13:01.000	47.360303	8.536004	406.9	214.9	NULL	3.2	NULL	NULL
2017-11-27 03:13:02.000	47.360273	8.536007	407	218.3	NULL	3.2	NULL	NULL
2017-11-27 03:13:03.000	47.360243	8.53601	407	221.6	NULL	3.3	NULL	NULL
2017-11-27 03:13:04.000	47.360214	8.536014	407.1	224.9	NULL	3.3	NULL	NULL
2017-11-27 03:13:05.000	47.360184	8.536019	407.2	228.2	NULL	3.3	NULL	NULL
2017-11-27 03:13:06.000	47.360155	8.536025	407.3	231.5	NULL	3.3	NULL	NULL
2017-11-27 03:13:07.000	47.360127	8.536028	407.4	234.6	NULL	3.3	NULL	NULL
2017-11-27 03:13:08.000	47.360099	8.536028	407.5	237.7	NULL	3.2	NULL	NULL
2017-11-27 03:13:09.000	47.360072	8.536027	407.5	240.8	NULL	3.2	NULL	NULL
2017-11-27 03:13:10.000	47.360043	8.536022	407.6	244	NULL	3.2	NULL	NULL
2017-11-27 03:13:11.000	47.360014	8.53602	407.7	247.2	NULL	3.1	NULL	NULL
2017-11-27 03:13:12.000	47.359984	8.536019	407.8	250.6	NULL	3.2	NULL	NULL
2017-11-27 03:13:13.000	47.359952	8.536018	407.9	254.1	NULL	3.3	NULL	NULL
2017-11-27 03:13:14.000	47.35992	8.536019	408	257.7	NULL	3.4	NULL	NULL
2017-11-27 03:13:15.000	47.359888	8.536018	408.1	261.2	NULL	3.4	NULL	NULL
2017-11-27 03:13:16.000	47.359856	8.536016	408.1	264.8	NULL	3.5	NULL	NULL
2017-11-27 03:13:17.000	47.359827	8.536008	408.2	268.1	NULL	3.5	NULL	NULL
2017-11-27 03:13:18.000	47.3598	8.535999	408.3	271.1	NULL	3.4	NULL	NULL
2017-11-27 03:13:20.000	47.359757	8.535972	408.4	276.3	NULL	3	NULL	NULL
2017-11-27 03:13:22.000	47.359704	8.535957	408.6	282.3	NULL	2.8	NULL	NULL
2017-11-27 03:13:23.000	47.359674	8.53596	408.7	285.7	NULL	2.9	NULL	NULL
2017-11-27 03:13:24.000	47.359639	8.535965	408.9	289.5	NULL	3.1	NULL	NULL
2017-11-27 03:13:25.000	47.359605	8.535968	409	293.3	NULL	3.4	NULL	NULL
2017-11-27 03:13:26.000	47.359571	8.535969	409.2	297.1	NULL	3.5	NULL	NULL
2017-11-27 03:13:27.000	47.359535	8.53597	409.3	301.1	NULL	3.8	NULL	NULL
2017-11-27 03:13:28.000	47.359501	8.535971	409.5	304.9	NULL	3.8	NULL	NULL
2017-11-27 03:13:29.000	47.359468	8.535972	409.7	308.6	NULL	3.8	NULL	NULL
2017-11-27 03:13:30.000	47.359437	8.535973	409.9	312.1	NULL	3.8	NULL	NULL
2017-11-27 03:13:31.000	47.359403	8.535971	410.1	315.9	NULL	3.8	NULL	NULL
2017-11-27 03:13:32.000	47.359368	8.535967	410.3	319.7	NULL	3.7	NULL	NULL
2017-11-27 03:13:33.000	47.359336	8.535965	410.4	323.4	NULL	3.7	NULL	NULL
